model,train_r2,adj_train_r2,test_r2,test_rmse,test_mae,cv_rmse
Linear (Scenario A - with G1G2),0.9190339861572526,0.9158274113515993,0.9043237423454521,1.5556444919678516,1.2190363392547254,1.4185163630082471
Ridge (Scenario A - with G1G2),0.9190248498353524,0.9158179131951683,0.9040144889244388,1.5581566107814373,1.222670316646055,1.4178310159998084
Lasso (Scenario A - with G1G2),0.915262076645084,0.9119061192844933,0.902593570008038,1.5696473060759848,1.2338857071641847,1.4250344321229766
Polynomial (Scenario A - with G1G2),0.9190508926311898,0.9152858178698497,0.9038969467726923,1.5591103643363495,1.2217825876946153,1.4334283011733728
Interaction (Scenario A - with G1G2),0.9205527349795256,0.9168575133506663,0.9097525042808234,1.510865643164354,1.162081003055405,1.411565615192383
Random Forest (Scenario A - with G1G2),0.9818296198813354,0.9811100008667348,0.8733135343530963,1.7900838560186543,1.4146796243321567,1.756266030906005
Gradient Boosting (Scenario A - with G1G2),0.9684406302357437,0.9671907542054761,0.9010791192810986,1.581802483081899,1.2187366620161786,1.6486153426038228
XGBoost (Scenario A - with G1G2),0.9999998858944062,0.9999998813753729,0.8219990948881188,2.12187292423183,1.783024294566126,1.9070152240046478
SVR (RBF) (Scenario A - with G1G2),0.9673022808121362,0.9660073216363793,0.8675920703200022,1.8300597245396184,1.4507211915724565,1.7768086484406442
Linear (Scenario B - without G1G2),0.20070133328736195,0.17449481962465252,0.15983959375502177,4.60987735538269,3.665345866824391,4.370138326404272
Ridge (Scenario B - without G1G2),0.2006993795173494,0.17449280179660676,0.1599096899391217,4.60968504594416,3.6658009860396974,4.3696109309445585
Lasso (Scenario B - without G1G2),0.19663392458491802,0.17029405325983338,0.1510625824920966,4.633894091607015,3.7114220432217873,4.356500205337336
Polynomial (Scenario B - without G1G2),0.20154073773122838,0.16991858873048493,0.16126671557098016,4.605960452949418,3.658974355220226,4.382299342627402
Interaction (Scenario B - without G1G2),0.20221087901631196,0.17061527026448275,0.17003223843750104,4.581829008203477,3.638408136703181,4.391357742227603
Random Forest (Scenario B - without G1G2),0.8589275976410542,0.8543022729735478,0.05608021382362871,4.886251431242454,3.8547298427915258,4.636239103625729
Gradient Boosting (Scenario B - without G1G2),0.6061533710165562,0.5932403667875908,-0.029004654096420168,5.101723711543844,4.077396990289818,4.887987991529682
XGBoost (Scenario B - without G1G2),0.9999997161368593,0.9999997068298712,-0.27743546564923327,5.684309945648954,4.496835283343351,5.213323497514351
SVR (RBF) (Scenario B - without G1G2),0.4727535315439835,0.45546676208640924,0.13507792950603958,4.677316468877138,3.7951342757760314,4.832016186275558
